日付,時刻,累計,当月,当日
2025/3/26,23:27,155803,2312,
2025/3/27,23:30,155867,2376,64
2025/3/28,23:30,155949,2458,82
2025/3/29,23:30,156056,2565,107
2025/3/30,23:30,156204,2713,148
2025/3/31,23:59,156284,2793,80
2025/4/1,23:59,156415,131,131
2025/4/2,23:59,156483,199,68
2025/4/3,23:59,156571,287,88
2025/4/4,23:59,156685,401,114
2025/4/5,23:59,156748,464,63
2025/4/6,23:59,156824,540,76
2025/4/7,23:59,156904,620,80
2025/4/8,23:59,157009,725,105
2025/4/9,23:59,157066,782,57
2025/4/10,23:59,157141,857,75
2025/4/11,23:59,157205,921,64
2025/4/12,23:59,157265,981,60
2025/4/13,23:59,157355,1071,90
2025/4/14,23:59,157416,1132,61
2025/4/16,0:04,157487,1203,71
2025/4/16,23:59,157574,1290,87
2025/4/17,23:59,157620,1336,46
2025/4/18,23:59,157678,1394,58
2025/4/19,23:59,157819,1535,141
2025/4/21,2:09,157861,1577,42
2025/4/21,23:59,157943,1659,82
2025/4/22,23:59,158070,1786,127
2025/4/23,23:59,158113,1829,43
2025/4/24,23:59,158201,1917,88
2025/4/25,23:59,158286,2002,85
2025/4/26,23:59,158335,2051,49
2025/4/27,23:59,158476,2192,141
2025/4/28,23:59,158547,2263,71
2025/4/29,23:59,158675,2391,128
2025/4/30,23:59,158776,2492,101
2025/5/1,23:59,158832,56,56
2025/5/2,23:59,158929,153,97
2025/5/3,23:59,158986,210,57
2025/5/4,23:59,159058,282,72
2025/5/5,23:59,159084,308,26
2025/5/6,23:59,159145,369,61
2025/5/7,23:59,159209,433,64
2025/5/8,23:59,159336,560,127
2025/5/9,23:59,159403,627,67
2025/5/10,23:59,159548,772,145
2025/5/11,23:59,159604,828,56
2025/5/12,23:59,159655,879,51
2025/5/13,23:59,159719,943,64
2025/5/14,23:59,159784,1008,65
2025/5/15,23:59,159881,1105,97
2025/5/16,23:59,159932,1156,51
2025/5/17,23:59,160001,1225,69
2025/5/18,23:59,160090,1314,89
2025/5/19,23:59,160190,1414,100
2025/5/20,23:59,160308,1532,118
2025/5/21,23:59,160429,1653,121
2025/5/22,23:59,160535,1759,106
2025/5/23,23:59,160633,1857,98
2025/5/24,23:59,160760,1984,127
2025/5/25,23:59,160830,2054,70
2025/5/26,23:59,160887,2111,57
2025/5/27,23:59,161013,2237,126
2025/5/28,23:59,161230,2454,217
2025/5/29,23:59,161395,2619,165
2025/5/30,23:59,161547,2771,152
2025/5/31,23:59,161662,2886,115
2025/6/1,23:59,161784,122,122
2025/6/2,23:59,161865,203,81
2025/6/3,23:59,161947,285,82
2025/6/4,23:59,162052,390,105
2025/6/5,23:59,162127,465,75
2025/6/6,23:59,162272,610,145
2025/6/7,23:59,162359,697,87
2025/6/8,23:59,162457,795,98
2025/6/9,23:59,162629,967,172
2025/6/10,23:59,162723,1061,94
2025/6/11,23:59,162808,1146,85
2025/6/12,23:59,162912,1250,104
2025/6/13,23:59,163024,1362,112
2025/6/14,23:59,163102,1440,78
2025/6/15,23:59,163189,1527,87
2025/6/16,23:59,163273,1611,84
2025/6/17,23:59,163348,1686,75
2025/6/18,23:59,163450,1788,102
2025/6/19,23:59,163566,1904,116
2025/6/20,23:59,163705,2043,139
2025/6/21,23:59,163849,2187,144
2025/6/22,23:59,163931,2269,82
2025/6/23,23:59,164020,2358,89
2025/6/24,23:59,164125,2463,105
2025/6/25,23:59,164205,2543,80
2025/6/26,23:59,164297,2635,92
2025/6/27,23:59,164410,2748,113
2025/6/28,23:59,164555,2893,145
2025/6/29,23:59,164696,3034,141
2025/6/30,23:59,164861,3199,165
2025/7/1,23:59,165031,170,170
2025/7/2,23:59,165206,345,175
2025/7/3,23:59,165328,467,122
2025/7/4,23:59,165467,606,139
2025/7/5,23:59,165615,754,148
2025/7/6,23:59,165755,894,140
2025/7/7,23:59,165912,1051,157
2025/7/8,23:59,166037,1176,125
2025/7/9,23:59,166275,1414,238
2025/7/10,23:59,166472,1611,197
2025/7/11,23:59,166655,1794,183
2025/7/13,0:00,166835,1974,180
2025/7/13,23:59,167010,2149,175
2025/7/14,23:59,167167,2306,157
2025/7/15,23:59,167348,2487,181
2025/7/16,23:59,167530,2669,182
2025/7/17,23:59,167836,2975,306
2025/7/18,23:59,168152,3291,316
2025/7/19,23:59,168949,4088,797
2025/7/20,23:59,169339,4478,390
2025/7/21,23:59,169422,4561,83
2025/7/22,23:59,169478,4617,56
2025/7/23,23:59,169602,4741,124
2025/7/24,23:59,169667,4806,65
2025/7/25,23:59,169730,4869,63
2025/7/26,23:59,169908,5047,178
2025/7/27,23:59,169977,5116,69
2025/7/28,23:59,170077,5216,100
2025/7/29,23:59,170133,5272,56
2025/7/30,23:59,170227,5366,94
2025/7/31,23:59,170285,5424,58
2025/8/1,23:59,170358,73,73
2025/8/2,23:59,170529,244,171
2025/8/3,23:59,170651,366,122
2025/8/4,23:59,170734,449,83
2025/8/5,23:59,170845,560,111
2025/8/6,23:59,171022,737,177
2025/8/7,23:59,171141,856,119
2025/8/8,23:59,171198,913,57
2025/8/9,23:59,171320,1035,122
2025/8/10,23:59,171363,1078,43
2025/8/11,23:59,171451,1166,88
2025/8/12,23:59,171531,1246,80
2025/8/13,23:59,171602,1317,71
2025/8/14,23:59,171700,1415,98
2025/8/15,23:59,171740,1455,40
2025/8/16,23:59,171792,1507,52
2025/8/17,23:59,171832,1547,40
2025/8/18,23:59,171949,1664,117
2025/8/19,23:59,172001,1716,52
2025/8/20,23:59,172065,1780,64
2025/8/21,23:59,172168,1883,103
2025/8/22,23:59,172231,1946,63
2025/8/23,23:59,172343,2058,112
2025/8/24,23:59,172415,2130,72
2025/8/25,23:59,172491,2206,76
2025/8/26,23:59,172555,2270,64
2025/8/27,23:59,172646,2361,91
2025/8/28,23:59,172745,2460,99
2025/8/29,23:59,172802,2517,57
2025/8/30,23:59,172873,2588,71
2025/8/31,23:59,172929,2644,56
2025/9/1,23:59,173021,92,92
2025/9/2,23:59,173111,182,90
2025/9/3,23:59,173202,273,91
2025/9/4,23:59,173315,386,113
2025/9/5,23:59,173484,555,169
2025/9/6,23:59,173899,970,415
2025/9/7,23:59,174051,1122,152
2025/9/8,23:59,174119,1190,68
2025/9/9,23:59,174217,1288,98
2025/9/10,23:59,174277,1348,60
2025/9/11,23:59,174343,1414,66
2025/9/12,23:59,174395,1466,52
2025/9/13,23:59,174463,1534,68
2025/9/14,23:59,174638,1709,175
2025/9/15,23:59,174723,1794,85
2025/9/16,23:59,174901,1972,178
2025/9/17,23:59,175007,2078,106
2025/9/18,23:59,175068,2139,61
2025/9/19,23:59,175113,2184,45
2025/9/20,23:59,175196,2267,83
2025/9/21,23:59,175273,2344,77
2025/9/22,23:59,175367,2438,94
2025/9/23,23:59,175440,2511,73
2025/9/24,23:59,175497,2568,57
2025/9/25,23:59,175545,2616,48
2025/9/26,23:59,175640,2711,95
2025/9/27,23:59,175736,2807,96
2025/9/28,23:59,175928,2999,192
2025/9/29,23:59,176044,3115,116
2025/9/30,23:59,176110,3181,66
2025/10/1,23:59,176220,110,110
2025/10/2,23:59,176315,205,95
2025/10/3,23:59,176515,405,200
2025/10/4,23:59,176646,536,131
2025/10/5,23:59,176805,695,159
2025/10/6,23:59,176996,886,191
2025/10/7,23:59,177110,1000,114
2025/10/8,23:59,177242,1132,132
2025/10/9,23:59,177406,1296,164
2025/10/10,23:59,177582,1472,176
2025/10/11,23:59,177742,1632,160
2025/10/12,23:59,177850,1740,108
2025/10/13,23:59,177929,1819,79
2025/10/14,23:59,178029,1919,100
2025/10/15,23:59,178087,1977,58
2025/10/16,23:59,178170,2060,83
2025/10/17,23:59,178233,2123,63
2025/10/18,23:59,178286,2176,53
2025/10/19,23:59,178334,2224,48
2025/10/20,23:59,178408,2298,74
2025/10/21,23:59,178478,2368,70
2025/10/22,23:59,178539,2429,61
2025/10/23,23:59,178572,2462,33
2025/10/24,23:59,178671,2561,99
2025/10/25,23:59,178823,2713,152
2025/10/26,23:59,178888,2778,65
2025/10/27,23:59,179019,2909,131
2025/10/28,23:59,179121,3011,102
2025/10/29,23:59,179185,3075
2025/10/30,23:59,179218,3108
2025/10/31,23:59,179268,3158
2025/11/01,23:59,179308,40
2025/11/02,23:59,179352,84
2025/11/03,23:59,179425,157
2025/11/04,23:59,179501,233
2025/11/05,23:59,179561,293
2025/11/06,23:59,179645,377
2025/11/07,23:59,179677,409
2025/11/08,23:59,179775,507
2025/11/09,23:59,179896,628
2025/11/10,23:59,179964,696
2025/11/11,23:59,180021,753
2025/11/12,23:59,180089,821
2025/11/13,23:59,180198,930
2025/11/14,23:59,180306,1038
2025/11/15,23:59,180350,1082
2025/11/16,23:59,180381,1113
2025/11/17,23:59,180461,1193
2025/11/18,23:59,180575,1307
2025/11/19,23:59,180665,1397
2025/11/20,23:59,180967,1699
2025/11/21,23:59,181154,1886
